# Time [ps]	Differential current [a.u.]
4.499999999999992895e+00	-1.030923674519497631e-02
4.526666666666669059e+00	2.061847349038995261e-02
4.559999999999995168e+00	-1.030923674519497631e-02
4.586666666666671333e+00	2.061847349038995261e-02
4.619999999999997442e+00	1.374564899359330059e-02
4.646666666666673606e+00	1.374564899359330059e-02
4.679999999999999716e+00	-5.154611165961617975e-02
4.706666666666675880e+00	-2.061847349038995261e-02
4.740000000000001990e+00	-3.780053473238157574e-02
4.773333333333329875e+00	-1.374564899359330059e-02
4.800000000000004263e+00	-1.030923674519497631e-02
4.833333333333332149e+00	-1.030923674519497631e-02
4.860000000000006537e+00	6.872838910068391344e-03
4.893333333333334423e+00	-1.030923674519497631e-02
4.920000000000008811e+00	6.872838910068391344e-03
4.953333333333336697e+00	6.872838910068391344e-03
4.980000000000011084e+00	3.436412248398325320e-02
5.013333333333338970e+00	1.030923674519497631e-02
5.040000000000013358e+00	1.374564899359330059e-02
5.073333333333341244e+00	0.000000000000000000e+00
5.099999999999992539e+00	3.092771023558493065e-02
5.126666666666668704e+00	4.123694698077990523e-02
5.159999999999994813e+00	5.841908028913023881e-02
5.186666666666670977e+00	3.092771023558493065e-02
5.219999999999997087e+00	4.467328716281952772e-02
5.246666666666673251e+00	4.467328716281952772e-02
5.279999999999999361e+00	4.810969941121785720e-02
5.306666666666675525e+00	5.841908028913023881e-02
5.340000000000001634e+00	1.374564899359330059e-02
5.366666666666677799e+00	4.467328716281952772e-02
5.400000000000003908e+00	1.374564899359330059e-02
5.433333333333330017e+00	1.030923674519497631e-02
5.460000000000006182e+00	2.061847349038995261e-02
5.493333333333332291e+00	0.000000000000000000e+00
5.520000000000008455e+00	0.000000000000000000e+00
5.553333333333334565e+00	-4.810969941121785720e-02
5.580000000000010729e+00	6.872838910068391344e-03
5.613333333333336839e+00	-2.061847349038995261e-02
5.640000000000013003e+00	-5.498266804073190933e-02
5.673333333333339112e+00	-5.498266804073190933e-02
5.700000000000015277e+00	-1.718206124199162660e-02
5.726666666666666572e+00	-5.498266804073190933e-02
5.759999999999994458e+00	-7.216436895093003567e-02
5.786666666666668846e+00	-8.934643019292164146e-02
5.819999999999996732e+00	-1.718206124199162660e-02
5.846666666666671119e+00	-6.185549253752856136e-02
5.879999999999999005e+00	-3.092771023558493065e-02
5.906666666666673393e+00	-3.780053473238157574e-02
5.940000000000001279e+00	4.123694698077990523e-02
5.966666666666675667e+00	1.718206124199162660e-02
6.000000000000003553e+00	-1.718206124199162660e-02
6.033333333333329662e+00	-1.030923674519497631e-02
6.060000000000005826e+00	-6.872838910068391344e-03
6.093333333333331936e+00	-6.872838910068391344e-03
6.120000000000008100e+00	7.560121359748057934e-02
6.153333333333334210e+00	2.749137005354530469e-02
6.180000000000010374e+00	3.780053473238157574e-02
6.213333333333336483e+00	6.872838910068391344e-03
6.240000000000012648e+00	-1.030923674519497631e-02
6.273333333333338757e+00	-3.436419455034195672e-03
6.300000000000014921e+00	-2.749137005354530469e-02
6.333333333333341031e+00	-1.718206124199162660e-02
6.359999999999992326e+00	5.154611165961617975e-02
6.386666666666668490e+00	2.405481367242957511e-02
6.419999999999994600e+00	-3.436412248398325320e-02
6.446666666666670764e+00	-2.405481367242957511e-02
6.479999999999996874e+00	6.872838910068391344e-03
6.506666666666673038e+00	-5.154611165961617975e-02
6.539999999999999147e+00	-2.749137005354530469e-02
6.566666666666675312e+00	-3.436419455034195672e-03
6.600000000000001421e+00	-2.749137005354530469e-02
