# THz field strength [%]	rectified current [e/pulse]	
-7.999308969208705378e+01	-2.503406250000000277e+00
-8.100264663308163904e+01	-2.777587500000000542e+00
-8.200548497424777850e+01	-2.932562500000000405e+00
-8.300008339804683999e+01	-3.147150000000000336e+00
-8.399766893612097363e+01	-3.469012500000000276e+00
-8.499563479479380135e+01	-3.778956250000000683e+00
-8.600334251640067862e+01	-4.041218750000000526e+00
-8.700503830337761713e+01	-4.386925000000000630e+00
-8.799761900299928641e+01	-4.625343750000000753e+00
-8.899968577342792742e+01	-4.982968750000000391e+00
-9.000518179839234278e+01	-5.245231250000000678e+00
-9.099760546627261704e+01	-5.519412500000001387e+00
-9.199994335979612003e+01	-5.817437500000001371e+00
-9.300152161529324246e+01	-6.079700000000000770e+00
-9.399902034063241274e+01	-6.401562500000000711e+00
-9.500073516985074207e+01	-6.771125000000001393e+00
-9.599791963847386000e+01	-7.104937500000001016e+00
-9.700251340664549105e+01	-7.355250000000000732e+00
-9.800005001937033455e+01	-7.700937500000001101e+00
-9.899971187282797302e+01	-8.094375000000001208e+00
-1.000000000000000000e+02	-8.428125000000001421e+00
